taxon	age
Anemopsis_californica	0.0
Aristolochia_acuminata	0.0
Aristolochia_albida	0.0
Aristolochia_arborea	0.0
Aristolochia_baetica	0.0
Aristolochia_bracteolata	0.0
Aristolochia_brasiliensis	0.0
Aristolochia_californica	0.0
Aristolochia_cf_cordiflora	0.0
Aristolochia_chilensis	0.0
Aristolochia_cruenta	0.0
Aristolochia_erecta	0.0
Aristolochia_eriantha	0.0
Aristolochia_gigantea	0.0
Aristolochia_gorgona	0.0
Aristolochia_macrantha	0.0
Aristolochia_macrophylla	0.0
Aristolochia_manshurensis	0.0
Aristolochia_parvifolia	0.0
Aristolochia_pentandra	0.0
Aristolochia_pistolochia	0.0
Aristolochia_pitchinchensis	0.0
Aristolochia_reticulata	0.0
Aristolochia_salvadorensis	0.0
Aristolochia_serpentaria	0.0
Aristolochia_tomentosa	0.0
Aristolochia_westlandii	0.0
Asarum_caudatum	0.0
Asarum_chingchengense	0.0
Asarum_yakusimense	0.0
Canella_winterana	0.0
Drimys_lanceolata	0.0
Gymnotheca_chinensis	0.0
Holostylis_reniforme	0.0
Houttuynia_cordata	0.0
Lactoris_fernandeziana	0.0
Macropiper_excelsum	0.0
Macropiper_hooglandii	0.0
Manekia_naranjouna	0.0
Manekia_sydowii	0.0
Pararistolochia_promissa	0.0
Pararistolochia_triactina	0.0
Peperomia_argyreia	0.0
Peperomia_bicolor	0.0
Peperomia_blanda	0.0
Peperomia_clusifolia	0.0
Peperomia_cuspidilimba	0.0
Peperomia_cyclaminoides	0.0
Peperomia_fraseri	0.0
Peperomia_glabella	0.0
Peperomia_graveolens	0.0
Peperomia_hylophila	0.0
Peperomia_inaequalifolia	0.0
Peperomia_macrostachya	0.0
Peperomia_magnolifolia	0.0
Peperomia_marmorata	0.0
Peperomia_maypuensis	0.0
Peperomia_metallica	0.0
Peperomia_perciliata	0.0
Peperomia_pereskifolia	0.0
Peperomia_pernambucensis	0.0
Peperomia_pitcairnensis	0.0
Peperomia_ppucu_ppucu	0.0
Peperomia_r_v_rotundifolia	0.0
Peperomia_rhombea	0.0
Peperomia_spec_Zaire_298N	0.0
Peperomia_trifolia	0.0
Peperomia_tuisana	0.0
Peperomia_vinasiana	0.0
Piper_aduncum_MAJ076	0.0
Piper_aduncum_MAJ200	0.0
Piper_arieanum	0.0
Piper_augustum	0.0
Piper_auritum	0.0
Piper_bavinum	0.0
Piper_caninum	0.0
Piper_cinereum	0.0
Piper_crocathum	0.0
Piper_decuma	0.0
Piper_flagelicuspe	0.0
Piper_hispidum	0.0
Piper_longum	0.0
Piper_magnificum	0.0
Piper_michelianum	0.0
Piper_muncha	0.0
Piper_nigrum	0.0
Piper_ornatum	0.0
Piper_peltatum	0.0
Piper_penninerve	0.0
Piper_pulchrum	0.0
Piper_reticulatum_MAJ062	0.0
Piper_reticulatum_MAJ128	0.0
Piper_spoliatum	0.0
Piper_subpedale	0.0
Piper_woody	0.0
Pseudowintera_colorata	0.0
Saruma_henryi	0.0
Saururus_cernuus	0.0
Saururus_chinensis	0.0
Thottea_cormbosa	0.0
Thottea_dependens	0.0
Thottea_siliquosa	0.0
Trianaeopiper_bullatum	0.0
Trinaeopiper_conifertinodum	0.0
Zippelia_begonieaflora	0.0
Saururus_aquilae	81.5
Saururus_tuckerae	47.35
Saururus_bilobatus	39.5
Saururus_stoobensis	9.0
Houttuynia_bavarica	19.5
Saururopsis_niponensis	83.25
Hexagyne_philippiana	119.0
Lactoripollenites_africanus	80.9
Aristolochia_austriaca	8.48
Piper_margaritae	67.0
Piper_bartlingianum	0.4805
